Pixel_Lat,Pixel_Long
48.85507093458128,9.682122000812825
46.59151915482143,-113.90446388571428
29.256291259215686,111.48406834117648
19.850479438938848,-155.33787402176264
-26.19166687595237,27.41289674738094
5.811706509,-77.18432544285714
5.863140949846159,-6.334615372673078
58.02712293150943,27.576337199999983
44.89352356903614,-73.5314766753012
-30.29338236411764,-64.00906854558824
-38.08749898333333,147.89582823333333
60.785119192857145,85.38868931142855
35.794991425151515,115.15921651919194
38.17057383375,4.8276040777812455
46.11250017393443,127.57602503770494
54.43343867739496,-118.15864831050416
22.305575276760564,111.24254684225355
31.33583317,51.75583343500001
20.826944290222222,-88.4849070228889
49.270075363636366,47.77916682636363
-18.982031494375,34.58749991583335
60.77805055821429,19.772842517678576
-15.578571421571425,-44.09642900785714
10.9274996762,80.36416778600002
-32.516667365,167.8729172
-1.2634259628977738,33.773148112777776
24.542129941111114,-18.15231514
37.241204580555554,100.9402783611111
36.138414474268295,107.96544666463416
64.6958313,177.8708344
42.48433928758621,117.86982753793103
21.022786438125,107.07213485000003
57.95138804333333,153.4569448
65.616668705,-51.137498855000004
-31.051785332857136,117.0363083
28.991944790833333,117.28833325166667
26.749404634285714,86.08868953142857
-13.115000057700001,141.87833559
38.311666871,28.169999885000003
51.096952752238806,4.749564758044773
12.343750119749998,-60.26354265375
64.54166412,-21.966667175
63.609723409999994,-145.7930552
58.434166718,112.4391678
6.998958378624998,105.05208205625001
2.0916666089166682,10.78055548733333
37.45773696857143,75.54226357714285
37.32724390589743,-3.54433765751282
-43.79791641,-72.424999235
50.45387965482759,-107.95445409310344
