sample_id,longitude,latitude,year_of_sampling
FMS16BI0080v2,150.268179,-33.652818,2014
FMS16BI0525v2,121.2342833,-28.17221667,2011
GF4S14348b,16.683848,49.321515,2017
S000991,18.816002,68.354395,
GF4S02568b,10.46243387,51.08998735,2011
GF4S20332b,25.874442,57.918112,2015
FMS25247v2,15.19,63.15,2014
N1537,8.372399908,56.17065016,2014
GF4S01198b,115.627917,33.22595,2015
GF4T1233otu,153.19,-28.21,2012
GF4T727otu,2.19,9.26,2010
FMS23483v2,-121.92,52.32,2009
N3556,110.2,31.24,2011
GF4S19903b,27.3247,58.27508,2011
GF4T705otu,-97.22,19.85,2018
GF4S16244b,-96.58333333,39.0833333,2015
GF3S05152a,1.0325,41.351667,2013
S008673,17.819018,65.96866,2009
GF3S01553a,124.2333,43.3167,2017
GF4S21764b,24.40731,59.02274,2015
FMS22850v2,-82.25,46.75,2011
FMS17585v2,96.73333333,32.88333333,2011
GF4S03479b,100.167,27.167,2015
GF4S20381b,24.816219,59.510831,2015
GF4T26otu,-75.49,6.75,2012
GF4S17749b,138.81526,35.95783,2014
FMS26292v2,22.18282,58.10608,2012
S003507,-122.89019,38.09925,2012
GF4S01191b,117.035847,35.038192,2015
FMS21723v2,10.311229,51.271436,2012
GF4T668otu,18.38,68.38,2014
GF4S19835b,26.564057,58.405732,2017
FMS25035v2,14.19,60.73,2014
FMS16BI1322v2,138.678149,-34.688921,2016
N1477,8.560815489,57.03741515,2014
GF4S20325b,26.197093,58.541379,2015
FMS23307v2,-122.61,54.35,2008
GF3S02142a,110.8833333,26.81666667,2014
GF4S01169b,113.32212,34.83114,2014
GF4T1211otu,146.32,-42.73,2012
GF4S16283b,-93.21,45.43,2017
GF4S11417b,-116.49,62.3506,2015
FMS26310v2,22.26762,58.29701,2012
GF4S20233b,26.239938,57.701586,2015
FMS06211v3,101.2291,21.98685,2013
GF4T1633otu,13.97,37.93,2018
FMSA8F1077v2,-79.85,9.15,2012
S001540,126.91667,47.45,2012
GF4T38otu,-75.17,4.88,2019
GF4S03532b,101.574,21.612,2015
GF4S02135b,18.854472,68.326056,2008
FMS24186v2,5.63,52.25,2012
GF3S01365a,24.30017741,58.95934694,2016
GF4S04080b,101.574,21.612,2015
GF4S13166b,4.4042,50.7491,2019
GF4S11494b,-116.4771,62.5097,2015
GF4T275otu,-122.16,43.63,2016
GF4S02867b,101.574,21.612,2015
GF4S19630b,26.68675,57.58672,2013
FMS10990v2,27.31,58.25,2012
GF3S06771a,128.463275,38.032124,2018
GF4S20643b,26.358796,57.983528,2015
FMS22990v2,-95.15,31.11,2012
GF4T966otu,-4.33,56.68,2012
N0499,117.909,29.126,2011
S008885,17.715826,66.140629,2009
GF4S20803b,26.777913,59.283187,2015
GF4S15851b,-72.1875,42.4836111,2016
FMS25168v2,15.84,62.72,2014
GF4S16478b,112.1666667,23.1666667,2016
S009269,16.65409793,49.32141518,2013
GF4S20135b,22.3927,57.6318,2014
GF4S14663b,13.93221976,48.7579784,2016
GF4T764otu,-60.09,5.44,2012
GF4T890otu,26.79,-22.28,2019
FMS21684v2,10.311229,51.271436,2012
GF3S09261b,112.83,22.57,2018
N3619,-123.2666667,54.3333333,2015
GF3S01559a,124.2333,43.3167,2017
FMS04339v3,19.927444,60.346778,2015
GF3S01501a,8.374609994,46.56891902,2017
GF4S03830b,101.574,21.612,2015
FMS20309v2,24.17,61.51,2011
GF4S14555b,13.4972,49.09084672,2016
GF4S11358b,-114.1022,60.3057,2015
GF4T953otu,13.84,53.17,2019
FMS17246v2,116.994528,49.031528,2010
GF4T101otu,-7,31.72,2015
GF4S03122b,101.016,24.533,2015
S009268,16.65293883,49.32502104,2013
FMS17598v2,96,33.58333333,2011
GF4T1678otu,177.85,64.7,2018
GF4S02674b,13.86398563,53.07658317,2011
GF4S20297b,25.672482,58.800185,2015
GF4S03216b,100.167,27.167,2015
S008777,17.725049,66.13815,2009
FMS16BI1728v2,143.09857,-13.82992,2015
FMS05325v3,111.91027,32.54168,2015
GF4S20469b,26.909698,57.638698,2015
FMS16BI1287v2,138.782866,-34.62018833,2016
GF4S16408b,-85.37,42.38,2015
GF3S03178a,26.55598,58.36978,2014
GF4S21183b,26.52815,57.56308,2017
N1869,-71.23333333,-12.63333333,
GF4S10867b,-1.32,51.78,2014
GF4T47otu,-69.9,-4.01,2019
FMS02398v3,29.58333333,67.7666667,2013
FMS21818v2,10.224485,51.268042,2012
GF4S03990b,101.016,24.533,2015
FMS25276v2,22.54,66.58,2014
GF4T1330otu,43.51,41.76,2014
GF4T1722otu,54.1,17.2,2019
S000853,-97.30001,19.1697,2012
GF4S21048b,26.21502637,57.75198123,2016
FMS12388v2,10.51696741,51.35579218,2011
FMS16BI2104v2,138.116732,-35.631434,2014
FMS08119v3a,138.8315,35.9194722,2016
GF4S16490b,112.1666667,23.1666667,2016
GF4S02924b,100.167,27.167,2015
S001775,23.31667,58.55,2011
GF4S19669b,26.6065,57.99839,2017
GF4S13338b,4.4232,50.7497,2019
GF4T4otu,-72.11,-0.56,2012
FMSA8F1017v2,-72.19,42.53,2012
GF4S03973b,101.016,24.533,2015
S003034,-119.93833,37.84261,2011
S000795,130.68616,42.75629,2010
GF3S02402a,122.4327,50.9896,2017
GF4S19221b,20.87,65.84220953,2016
GF4S17762b,138.81882,35.91744,2014
FMS16BI0450v2,146.6711,-42.6793,2013
GF4S11507b,-116.456,62.5402,2015
GF3S03518a,105.64,37.45,2015
GF4S20006b,23.57,58.58,2019
FMS22840v2,-82.25,46.75,2011
GF4S20026b,22.31476,58.21082,2013
S003373,-78.97022,36.01264,2011
N0765,117.908,29.124,2011
GF3S01301a,25.06363,58.72258,2015
GF4T1632otu,14.43,38,2018
GF4S21443b,26.4676,57.6687,2013
FMS22892v2,-82.85,47.57,2011
GF4S21653b,22.51694,58.71806,2015
S005842,5.263889,51.236111,2011
GF4T1652otu,13.05,47.57,2018
GF4S19549b,122.0544444,51.8413889,2021
GF4S16130b,-96.58333333,39.0833333,2018
GF3S05779a,14.707853,48.6658366,2015
N1694,12.25085014,55.98726197,2014
FMS16BI0579v2,150.7075604,-35.13802306,2012
N1872,-111.00378,45.573646,
GF4S04119b,101.574,21.612,2015
GF4T1104otu,25.44,66.35,2020
N1558,8.19077075,55.69423108,2014
FMS21694v2,10.31103,51.27151,2012
GF4S19699b,27.03095,58.4203,2017
FMS16BI1542v2,117.15546,-34.619163,2016
FMS25283v2,22.45,66.55,2014
S008850,17.871057,65.945096,2009
FMS25938v2,22.38666,58.32899,2012
FMS16BI0602v2,118.8708528,-34.07607972,2013
FMS19753v2,-64.7257,-22.3833,
FMS10004v2,-61.28,10.38,2015
FMS00648v3,21.985556,40.88361,2014
FMS00389v3,23.070278,40.70194,2014
GF4S04069b,101.574,21.612,2015
N1718,10.89727399,55.74078685,2014
GF4S17386b,11.06,47.44,2016
FMS23045v2,-95.15,31.11,2012
GF4S03910b,101.574,21.612,2015
S003023,-119.93833,37.84261,2011
GF4S21826b,23.61462,59.21818,2018
FMS23104v2,-120.28,50.93,2010
FMS24684v2,-73.3378848,42.4750834,2013
