sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,plant_diversity,climate_stability_index,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,area_sampled,extraction_dna_mass,Resolve_Biome,arbuscular_mycorrhizal_richness,CV_Fold_Random,geometry,knndmw_CV_folds,Pixel_Long,Pixel_Lat
S6684,1254,121.61694,3193.9346,176.5835,24.396688,20,751,4018,3778,0.4215162,0.9067608,1941,5.4097967,2,0,0,8.919644,9833.6,199.96217,45.98457,166.13841,55.210518,2003,0.20980686,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,2,2.56410287,4,-155.3291626|19.82083321,1,-155.3291626,19.82083321
S4149,1254,121.61694,3193.9346,176.5835,24.396688,20,751,4018,3778,0.4215162,0.9067608,1941,5.4097967,2,0,0,8.919644,9833.6,199.96217,45.98457,166.13841,55.210518,2003,0.20980686,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,2,2.813370738,5,-155.3291626|19.82083321,1,-155.3291626,19.82083321
S3184,665,64.5,576.0332,188.5332,28.103323,25,1778,2585,1856,-0.5812388,-0.81373304,0,0,0,0,1.3258114,75.46382,6740.6,133.2625,60.801952,93.11905,56.34699,,0.6434266,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.265,4,2.63898587,6,19.54583359|60.23749924,9,19.54583359,60.23749924
S6745,1266,136.55005,3570.5193,186.5498,23.998333,,266,3682,5493,0.36486655,0.9310581,1662.5,5.110835,-2.75,0,0,58.27413,11484.8,200,59.214035,235.09749,47.766872,2003,0.2097156,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,1,2.672630234,6,-155.3041687|19.82916641,1,-155.3041687,19.82916641
S1078,1787,232.58252,1660.1885,257.56616,38.49334,2,362,725,2914,-0.015198069,0.63945305,556,10.78511,-14.625,0,0,147.66737,14937.2,199.89091,25.457497,79.931625,50.077267,2821,0.15691376,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,5,1,3.314186005,7,-61.72916794|16.17916679,10,-61.72916794,16.17916679
S3629,1447.9999,100.66748,543.4977,273.68433,41.39668,,492,1602,5658,0.6802275,-0.7045553,1652,15.049555,5.9375,0,0,70.813515,5953.8,190.95566,45.089645,39.135887,64.03502,2083,0.28689593,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5,12,1.609437912,3,-2.837500095|37.40416718,10,-2.837500095,37.40416718
S5241,804,83.56665,660.8661,216.5669,12.998352,47,880,3692,2171,0.9940065,-0.10653193,299.5,8.257263,-3.5,0,0,82.03502,6324,200,29.824488,38.11028,60.180016,1122,0.4942212,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,1.791759469,7,10.40416622|50.97083282,10,10.40416622,50.97083282
S7629,1447.9999,100.66748,543.4977,273.68433,41.39668,,492,1602,5658,0.6802275,-0.7045553,1652,15.049555,5.9375,0,0,70.813515,5953.8,190.95566,45.089645,39.135887,64.03502,2083,0.28689593,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5,12,2.63905733,4,-2.837500095|37.40416718,10,-2.837500095,37.40416718
S3285,1585,239.51636,1997.5651,320.5332,71.39996,44,459,2773,3592,0.9097073,0.34183684,177.5,1.6658216,1.25,0,0.01237509,67.137245,7425.6,199.48221,53.079338,20.491901,51.25759,3112,0.21614479,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0.25,1,3.601822647,8,109.5291672|19.47083282,2,109.5291672,19.47083282
S4379,1267,131.61621,3437.4023,183.5664,24.196665,,261,3851,6205,0.39932412,0.9167687,1745,5.119382,0.375,0,0,18.65031,6519.2,200,53.640045,224.0743,50.686573,2003,0.2097156,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,1,2.44226004,9,-155.3125|19.82916641,1,-155.3125,19.82916641
S4974,1261,130.56738,3436.2678,183.53369,24.196665,,296,-647,4310,0.58436203,0.811493,1773.5,4.9342194,-0.5,0,0,66.01315,5316.4,200,53.722668,205.09613,49.632347,2003,0.20980686,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,1,2.483906142,10,-155.3125|19.82083321,1,-155.3125,19.82083321
S4254,955,15.516602,645.0501,248.5166,102.3,,290,1614,4150,-0.2749055,0.4836743,349.5,1.6176977,1.3125,0,0,51.41209,4744.8,200,39.240532,76.95135,55.68089,765,0.31864816,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0.5,4,3.406715474,8,127.5791702|47.6875,2,127.5791702,47.6875
S4251,1433,89.5,378.98343,276.5,89.59997,48,2343,1581,1582,0.8944272,0.40930206,1333,0.1383553,0,0,9.667462,0,1932.8,200,47.46646,10.36286,83.66532,931,0.34396037,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.5,10,3.51142598,7,108.8375015|37.60416794,9,108.8375015,37.60416794
