longitude,latitude,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
-119.26342,37.91069,24.0,-49.0,-32.0,43.0,36.0,-46.0,-31.0,36.0,-23.0,34.0,-38.0,63.0,-19.0,-33.0,-49.0,45.0,-39.0,39.0,43.0,9.0,43.0,-31.0,52.0,-45.0,-37.0,6.0,-51.0,27.0,-20.0,10.0,48.0,47.0,50.0,-23.0,-25.0,27.0,34.0,31.0,-55.0,19.0,-60.0,61.0,-58.0,-30.0,-21.0,66.0,-38.0,-48.0,-56.0,-48.0,41.0,-12.0,31.0,61.0,60.0,13.0,-58.0,-47.0,-35.0,-47.0,17.0,62.0,-26.0,-32.0
-119.91283,37.81261,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-115.79572,33.754262,51.0,60.0,23.0,57.0,29.0,28.0,-17.0,40.0,-31.0,-30.0,42.0,-47.0,-63.0,-47.0,43.0,38.0,-13.0,-7.0,64.0,-39.0,-16.0,-43.0,-31.0,23.0,-52.0,62.0,17.0,-32.0,28.0,41.0,39.0,-25.0,42.0,-57.0,31.0,-37.0,21.0,-18.0,-64.0,23.0,78.0,-36.0,51.0,-60.0,22.0,50.0,44.0,-33.0,-34.0,-52.0,-48.0,-21.0,25.0,-29.0,38.0,41.0,-44.0,-45.0,-23.0,-45.0,4.0,30.0,49.0,18.0
-122.89019,38.09925,55.0,32.0,-49.0,16.0,43.0,15.0,23.0,67.0,55.0,-24.0,-29.0,36.0,-57.0,21.0,49.0,45.0,-55.0,-15.0,29.0,41.0,38.0,47.0,-21.0,23.0,49.0,59.0,-65.0,20.0,42.0,7.0,33.0,33.0,-31.0,32.0,-33.0,-21.0,-27.0,18.0,-36.0,44.0,-34.0,19.0,60.0,-43.0,-18.0,55.0,-40.0,-16.0,-9.0,-45.0,-46.0,-44.0,64.0,45.0,-28.0,-44.0,20.0,53.0,-52.0,19.0,71.0,-57.0,37.0,-27.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-119.44064,37.85158,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-122.89653,38.12031,48.0,27.0,-54.0,41.0,45.0,29.0,-17.0,45.0,73.0,-33.0,-22.0,39.0,-58.0,-30.0,19.0,55.0,-41.0,29.0,25.0,27.0,42.0,48.0,17.0,40.0,27.0,70.0,-64.0,27.0,54.0,23.0,-1.0,29.0,-11.0,38.0,-23.0,-24.0,-37.0,25.0,-41.0,42.0,34.0,-33.0,57.0,-40.0,29.0,33.0,-49.0,-26.0,16.0,-44.0,-47.0,-39.0,52.0,55.0,-41.0,-57.0,38.0,50.0,-45.0,-34.0,70.0,-42.0,37.0,-11.0
-122.89653,38.12031,48.0,27.0,-54.0,41.0,45.0,29.0,-17.0,45.0,73.0,-33.0,-22.0,39.0,-58.0,-30.0,19.0,55.0,-41.0,29.0,25.0,27.0,42.0,48.0,17.0,40.0,27.0,70.0,-64.0,27.0,54.0,23.0,-1.0,29.0,-11.0,38.0,-23.0,-24.0,-37.0,25.0,-41.0,42.0,34.0,-33.0,57.0,-40.0,29.0,33.0,-49.0,-26.0,16.0,-44.0,-47.0,-39.0,52.0,55.0,-41.0,-57.0,38.0,50.0,-45.0,-34.0,70.0,-42.0,37.0,-11.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-119.93833,37.84261,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-119.55,37.75,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-122.87464,38.08867,45.0,28.0,-53.0,23.0,28.0,31.0,30.0,36.0,68.0,-25.0,30.0,-19.0,-56.0,-36.0,38.0,42.0,-38.0,29.0,-13.0,22.0,20.0,49.0,19.0,33.0,31.0,74.0,-56.0,36.0,64.0,18.0,27.0,50.0,13.0,59.0,-23.0,-33.0,-27.0,38.0,-36.0,53.0,43.0,-36.0,64.0,-40.0,27.0,28.0,-53.0,-31.0,12.0,-38.0,-18.0,-5.0,53.0,59.0,-33.0,-62.0,50.0,34.0,-34.0,-54.0,61.0,-33.0,35.0,6.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-120.58,39.06,57.0,-16.0,-34.0,-17.0,44.0,18.0,-8.0,54.0,-10.0,28.0,-45.0,39.0,-56.0,38.0,30.0,52.0,-49.0,42.0,64.0,-30.0,40.0,-24.0,34.0,-24.0,43.0,29.0,-69.0,26.0,34.0,-12.0,26.0,60.0,10.0,45.0,11.0,-11.0,-34.0,32.0,-62.0,19.0,-68.0,47.0,23.0,-38.0,-26.0,67.0,-43.0,-55.0,-16.0,-42.0,34.0,-42.0,46.0,61.0,47.0,20.0,-46.0,43.0,-13.0,-21.0,61.0,-8.0,37.0,-38.0
-117.63,33.71,24.0,-21.0,22.0,-25.0,15.0,-30.0,27.0,42.0,-30.0,-67.0,-34.0,-1.0,-63.0,-42.0,50.0,28.0,-41.0,47.0,-47.0,59.0,-19.0,48.0,-23.0,45.0,37.0,33.0,-36.0,55.0,27.0,-32.0,54.0,33.0,44.0,57.0,-40.0,20.0,54.0,11.0,-64.0,55.0,10.0,-57.0,59.0,-36.0,51.0,61.0,18.0,-36.0,-42.0,-28.0,30.0,-28.0,60.0,-41.0,-35.0,-43.0,13.0,-40.0,-58.0,-25.0,48.0,-24.0,-24.0,-51.0
-119.55345,37.74811,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
-119.49117,37.80889,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
