longitude,latitude,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
-119.8925781,37.81383896,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-118.0,36.29,41.0,11.0,47.0,47.0,29.0,-22.0,15.0,30.0,-71.0,28.0,52.0,-36.0,-53.0,-29.0,29.0,-35.0,-38.0,-33.0,58.0,-54.0,26.0,-35.0,-38.0,-29.0,-64.0,22.0,-25.0,-39.0,25.0,29.0,-33.0,-39.0,57.0,-61.0,-47.0,36.0,23.0,39.0,-75.0,-52.0,57.0,28.0,-9.0,-67.0,-10.0,60.0,44.0,-19.0,28.0,13.0,-44.0,50.0,21.0,-27.0,46.0,30.0,-42.0,-30.0,-46.0,-26.0,-17.0,-47.0,-28.0,-15.0
-119.89,37.81,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-117.32,34.97,55.0,49.0,42.0,37.0,45.0,38.0,-31.0,34.0,-32.0,31.0,37.0,-23.0,-76.0,-59.0,47.0,35.0,-34.0,-39.0,67.0,-39.0,-16.0,-55.0,-58.0,-4.0,-48.0,45.0,44.0,-50.0,21.0,25.0,39.0,5.0,58.0,-51.0,-43.0,-39.0,25.0,41.0,-33.0,-42.0,65.0,-33.0,53.0,-63.0,28.0,39.0,23.0,-59.0,-24.0,-54.0,-34.0,-35.0,20.0,-12.0,33.0,-31.0,-9.0,-36.0,3.0,36.0,-33.0,38.0,18.0,-37.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-120.58,37.85,46.0,-28.0,32.0,24.0,43.0,41.0,29.0,45.0,42.0,-13.0,-38.0,-49.0,-55.0,-54.0,36.0,57.0,-20.0,28.0,-47.0,-46.0,14.0,50.0,-25.0,52.0,38.0,54.0,-54.0,58.0,54.0,41.0,35.0,-49.0,41.0,-34.0,-55.0,-44.0,-34.0,18.0,-60.0,53.0,39.0,-31.0,59.0,-61.0,49.0,50.0,-8.0,-62.0,-51.0,-25.0,-41.0,40.0,14.0,-15.0,-41.0,-46.0,30.0,13.0,31.0,26.0,62.0,-24.0,-14.0,-37.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-120.66,40.67,35.0,-48.0,16.0,-25.0,-17.0,-34.0,-38.0,-59.0,-58.0,46.0,-2.0,-49.0,-29.0,-29.0,-55.0,30.0,-27.0,-39.0,41.0,-58.0,-25.0,38.0,-43.0,10.0,-57.0,-24.0,30.0,-17.0,43.0,-35.0,-56.0,32.0,55.0,-57.0,-40.0,46.0,44.0,42.0,-60.0,-21.0,-20.0,36.0,-38.0,-50.0,32.0,55.0,49.0,-43.0,46.0,-61.0,24.0,-4.0,54.0,58.0,12.0,25.0,-51.0,-50.0,-60.0,-29.0,51.0,-32.0,49.0,40.0
-115.79572,33.754262,51.0,60.0,23.0,57.0,29.0,28.0,-17.0,40.0,-31.0,-30.0,42.0,-47.0,-63.0,-47.0,43.0,38.0,-13.0,-7.0,64.0,-39.0,-16.0,-43.0,-31.0,23.0,-52.0,62.0,17.0,-32.0,28.0,41.0,39.0,-25.0,42.0,-57.0,31.0,-37.0,21.0,-18.0,-64.0,23.0,78.0,-36.0,51.0,-60.0,22.0,50.0,44.0,-33.0,-34.0,-52.0,-48.0,-21.0,25.0,-29.0,38.0,41.0,-44.0,-45.0,-23.0,-45.0,4.0,30.0,49.0,18.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-120.4,39.2,51.0,-23.0,-37.0,41.0,49.0,-37.0,37.0,13.0,-30.0,-2.0,-45.0,61.0,-50.0,12.0,-51.0,58.0,11.0,-30.0,45.0,-26.0,45.0,-23.0,41.0,-52.0,-16.0,20.0,-63.0,22.0,34.0,19.0,-27.0,49.0,46.0,31.0,30.0,11.0,33.0,43.0,-70.0,31.0,-50.0,62.0,-32.0,-29.0,-31.0,59.0,-29.0,-69.0,-27.0,-50.0,54.0,-12.0,-18.0,58.0,56.0,18.0,33.0,-39.0,33.0,-57.0,47.0,46.0,32.0,13.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-120.9,41.08,55.0,-38.0,-49.0,10.0,51.0,32.0,-33.0,42.0,-28.0,-18.0,29.0,23.0,-36.0,-14.0,53.0,35.0,21.0,-24.0,53.0,42.0,17.0,-53.0,40.0,-37.0,36.0,39.0,-44.0,-38.0,42.0,41.0,21.0,63.0,56.0,32.0,18.0,36.0,-45.0,31.0,-51.0,52.0,-64.0,45.0,18.0,-47.0,-10.0,56.0,-9.0,-60.0,-11.0,-40.0,28.0,-48.0,34.0,71.0,59.0,36.0,-49.0,-19.0,-46.0,-33.0,67.0,3.0,44.0,-30.0
-115.811803,33.750666,54.0,54.0,43.0,51.0,31.0,6.0,15.0,40.0,-43.0,-31.0,43.0,-47.0,-69.0,-47.0,39.0,29.0,18.0,24.0,66.0,-47.0,10.0,-45.0,-44.0,10.0,-51.0,53.0,-20.0,-14.0,19.0,36.0,43.0,-40.0,33.0,-47.0,-31.0,-39.0,7.0,27.0,-70.0,41.0,78.0,-28.0,52.0,-58.0,-19.0,55.0,36.0,-37.0,-38.0,-49.0,-52.0,29.0,37.0,-34.0,35.0,38.0,-45.0,-31.0,-19.0,-28.0,-21.0,-6.0,34.0,-6.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-116.43,34.15,58.0,40.0,18.0,64.0,33.0,21.0,-18.0,24.0,-45.0,-45.0,50.0,-36.0,-63.0,-53.0,44.0,24.0,-14.0,24.0,60.0,-17.0,19.0,-45.0,-43.0,-30.0,-53.0,58.0,39.0,-44.0,31.0,54.0,31.0,-30.0,34.0,-49.0,-13.0,10.0,10.0,-45.0,-62.0,24.0,74.0,-38.0,34.0,-58.0,25.0,49.0,62.0,-20.0,-35.0,-56.0,-34.0,-41.0,-9.0,-23.0,25.0,20.0,-37.0,-38.0,-11.0,-52.0,30.0,20.0,50.0,-20.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-119.91283,37.81261,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
-115.79572,33.754262,51.0,60.0,23.0,57.0,29.0,28.0,-17.0,40.0,-31.0,-30.0,42.0,-47.0,-63.0,-47.0,43.0,38.0,-13.0,-7.0,64.0,-39.0,-16.0,-43.0,-31.0,23.0,-52.0,62.0,17.0,-32.0,28.0,41.0,39.0,-25.0,42.0,-57.0,31.0,-37.0,21.0,-18.0,-64.0,23.0,78.0,-36.0,51.0,-60.0,22.0,50.0,44.0,-33.0,-34.0,-52.0,-48.0,-21.0,25.0,-29.0,38.0,41.0,-44.0,-45.0,-23.0,-45.0,4.0,30.0,49.0,18.0
-119.44064,37.85158,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-117.69,33.75,32.0,-26.0,-37.0,32.0,37.0,19.0,41.0,-4.0,6.0,-55.0,36.0,-33.0,-59.0,-50.0,40.0,42.0,-34.0,-27.0,-44.0,-18.0,41.0,20.0,31.0,35.0,22.0,54.0,-29.0,47.0,49.0,31.0,49.0,-29.0,51.0,-11.0,-46.0,20.0,30.0,41.0,-53.0,32.0,71.0,-78.0,55.0,-39.0,47.0,13.0,31.0,-42.0,-18.0,-49.0,-32.0,26.0,42.0,37.0,-35.0,-60.0,12.0,-45.0,-45.0,-50.0,66.0,20.0,57.0,32.0
-122.24,37.87,48.0,-9.0,-47.0,32.0,41.0,-14.0,42.0,60.0,63.0,-45.0,34.0,17.0,-59.0,-28.0,51.0,42.0,44.0,-16.0,-59.0,20.0,35.0,-33.0,-30.0,-5.0,54.0,56.0,-37.0,23.0,49.0,55.0,-47.0,33.0,13.0,59.0,-20.0,-38.0,-11.0,33.0,-48.0,24.0,29.0,-49.0,65.0,-44.0,23.0,35.0,-38.0,52.0,49.0,2.0,-27.0,-41.0,24.0,61.0,55.0,-38.0,33.0,-17.0,14.0,37.0,59.0,-50.0,52.0,46.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-120.5805054,37.84895325,38.0,-35.0,-25.0,58.0,51.0,29.0,-7.0,33.0,29.0,-7.0,21.0,-46.0,-60.0,-61.0,35.0,57.0,18.0,9.0,-48.0,-27.0,32.0,14.0,21.0,46.0,46.0,69.0,-39.0,40.0,51.0,48.0,-8.0,-49.0,52.0,-45.0,-36.0,-46.0,-20.0,20.0,-62.0,42.0,30.0,-57.0,56.0,-54.0,59.0,44.0,7.0,-44.0,22.0,29.0,-47.0,32.0,-31.0,53.0,-5.0,-55.0,38.0,-34.0,7.0,-38.0,63.0,-20.0,35.0,-15.0
-120.93,39.01,60.0,-37.0,-24.0,-11.0,44.0,24.0,-41.0,26.0,-45.0,-27.0,34.0,-27.0,-66.0,-48.0,48.0,-17.0,37.0,-40.0,-52.0,48.0,-24.0,-38.0,-47.0,-14.0,33.0,15.0,-53.0,-28.0,34.0,42.0,30.0,-13.0,60.0,-6.0,-59.0,29.0,-31.0,41.0,-68.0,51.0,-57.0,39.0,35.0,-40.0,45.0,73.0,24.0,-46.0,28.0,19.0,-23.0,-15.0,3.0,49.0,10.0,-29.0,-22.0,-37.0,-4.0,-16.0,72.0,-62.0,25.0,-35.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
-121.04,39.55,42.0,-36.0,-56.0,34.0,30.0,10.0,-31.0,53.0,39.0,-36.0,37.0,32.0,-49.0,26.0,48.0,34.0,40.0,-34.0,22.0,-17.0,38.0,-60.0,7.0,32.0,60.0,33.0,-51.0,-32.0,-26.0,22.0,-24.0,36.0,34.0,18.0,-39.0,-46.0,-55.0,46.0,-31.0,21.0,-58.0,-43.0,51.0,-34.0,23.0,68.0,-22.0,35.0,46.0,40.0,-6.0,-52.0,-2.0,64.0,71.0,44.0,-32.0,31.0,-44.0,-42.0,71.0,22.0,54.0,37.0
