sample_id,longitude,latitude,year_of_sampling
S5557,23.53111111,41.75888889,2015
S3699,9.460072222,48.4587139,2011
S3302,34.362,-18.9713333,2014
S4873,108.715,18.62583333,2018
S5469,-105.0486111,19.50833333,2014
S7032,-113.35,48.4666667,NA_
S4576,-118.042189,54.55991094,2016
S3503,-155.3046194,19.8330333,2017
S2425,10.405344,50.971664,2011
S6869,-155.3046194,19.8333267,2017
S7115,-116.966739,53.32204872,2016
S2615,-54.43083333,-25.69111111,2018
S3845,112.53,23.17,2015
S7246,-155.3046194,19.8330333,2017
S4303,20.26855,60.140636,2015
S4204,9.460072222,48.4587139,2011
S3322,-117.325814,53.42042705,2016
S2497,107.1805,36.7236,2010
S2300,9.460072222,48.4587139,2011
S3948,-117.725821,53.9446358,2016
S2554,115.8218,40.8524,2010
S5600,27.2624,58.2986,2009
S5096,-155.3102889,19.8328028,2017
S3024,106.2122222,24.35888889,2018
S4600,-117.970426,54.58351057,2016
S4733,-155.3099972,19.8326083,2017
S2173,9.460072222,48.4587139,2011
S6523,-118.609026,53.86836742,2016
S996,106.6630556,23.89861111,2018
S6640,9.460072222,48.4587139,2011
S5356,-117.725821,53.9446358,2016
S3631,34.19967,-19.0001,2014
S5948,-57.78694444,48.98944444,2012
S6402,-118.609026,53.86836742,2016
S5484,145.4158333,-6.017222222,2011
S888,-48.8525,-15.81,2016
S1675,4.96319,50.86234,2018
S2333,9.460072222,48.4587139,2011
S3428,9.460072222,48.4587139,2011
S2269,114.88472,37.82851,2015
S6286,-118.756858,54.51953924,2016
S2079,9.460072222,48.4587139,2011
S4266,114.27039,33.36182,2015
S3274,-155.3099972,19.8326083,2017
S4633,19.789183,60.364781,2015
S4978,-155.3170028,19.8208167,2017
S3902,19.928064,60.346503,2015
S7546,-155.3010472,19.8330056,2017
S6649,-117.327002,53.41285736,2016
S5664,9.460072222,48.4587139,2011
S2505,102.0708,36.4503,2010
S5534,-155.3046194,19.8333267,2017
S1672,-48.85222222,-15.81,2016
S5204,-119.99912,54.66892,2016
S4760,-155.3102889,19.8328028,2017
S6427,-117.734429,53.93828319,2016
S1659,9.460072222,48.4587139,2011
S2213,9.460072222,48.4587139,2011
S3892,-155.3159722,19.8209611,2017
S7023,-155.3010472,19.8330056,2017
S6791,-155.3046194,19.8330333,2017
S1598,-52.20916667,4.553333333,2013
S6441,-119.969482,54.63433142,2016
S5590,-117.325814,53.42042705,2016
S6926,-155.3159722,19.8209611,2017
S4163,-155.3251139,19.82215833,2017
S3505,-155.3261611,19.8219194,2017
S3092,110.1,23.07916667,2018
S5205,111.0166667,29.6336111,2012
S4314,-155.3070028,19.8329472,2017
S2311,9.460072222,48.4587139,2011
S6628,-113.35,48.4666667,NA_
S4772,10.405344,50.971664,2011
S4160,-155.3263889,19.82154722,2017
S2327,9.460072222,48.4587139,2011
S1324,115.72,29.29,2018
S4367,-155.3261611,19.8219194,2017
S4141,-155.3263889,19.82154722,2017
S4384,-155.3102889,19.8328028,2017
S6635,4.990823,50.886561,2018
S4968,106.2369,35.6899,2010
S2117,4.98985,50.87237,2018
S6030,34.37243,-18.9478833,2014
S5218,-155.3099972,19.8326083,2017
S4021,9.460072222,48.4587139,2011
S2243,34.375167,-18.9413833,2014
S3440,9.460072222,48.4587139,2011
S7123,19.924192,60.344739,2015
S5781,9.460072222,48.4587139,2011
S6351,-117.329673,53.80416602,2016
S2156,3.01889,39.83495,2018
S2742,9.61,34.53,2014
S5848,9.460072222,48.4587139,2011
S4135,-155.3046194,19.8333267,2017
S2082,9.460072222,48.4587139,2011
S3328,9.460072222,48.4587139,2011
S3234,109.7878,38.1021,2010
S942,-155.3170028,19.8208167,2017
S4360,-155.3263889,19.82154722,2017
S5260,111.2594,37.9478,2010
S5850,-155.3261611,19.8219194,2017
S7577,-64.185656,-31.560563,2015
S6627,-155.3176528,19.8207917,2017
S6153,-155.3263889,19.82154722,2017
S5538,-155.3070028,19.8329472,2017
S3076,-155.3099972,19.8326083,2017
S6480,-118.762735,54.51051497,2016
S2289,9.460072222,48.4587139,2011
S6785,-155.3263889,19.82154722,2017
S3020,9.460072222,48.4587139,2011
S3046,9.460072222,48.4587139,2011
S5258,19.540519,60.217986,2015
S1387,116.9354553,28.2067083,2014
S3859,10.405344,50.971664,2011
S5077,19.594139,60.235531,2015
S4217,118.2438,40.9322,2010
S5955,-116.966739,53.32204872,2016
S7474,47.91694444,-18.91611111,2010
S1770,19.671547,60.213047,2015
S6534,-117.325814,53.42042705,2016
S6167,-155.3099972,19.8326083,2017
S6456,-118.756858,54.51953924,2016
S6809,-2.833333,37.4,2011
S6510,-119.969482,54.63433142,2016
S1171,29.18873333,-25.99995,2017
S3335,-117.970426,54.58351057,2016
S3554,-117.325814,53.42042705,2016
S1627,35.355,-3.075277778,2018
