Pixel_Lat,Pixel_Long
31.155701055216706,115.38960066968878
50.59491447914287,10.65660990818278
53.11672810960363,-121.40979101528828
-35.694160875039756,147.2709283375144
36.13501140064865,-90.03617114458132
-12.218816619575556,31.606259585634703
-35.341172737535615,-65.19911139630318
60.454066064072826,23.571488277455835
26.65926422729411,98.82809080012873
5.113391003013454,-67.18375271959101
44.874170391422304,-68.10896286341344
35.39274754680044,-1.6351164142262036
39.753125062067305,50.20973569596154
-12.179958699591502,139.87331302314055
42.360486280416666,130.49545588916672
-30.792847806078797,120.65574147440944
