Mean_R2_Spatial,StDev_R2_Spatial,Mean_RMSE_Spatial,StDev_RMSE_Spatial,Mean_MAE_Spatial,StDev_MAE_Spatial,Mean_Alpha,cName,guild,feature_set,env_width,env_depth,env_dropout,spatial_mode,spatial_k,spatial_width,spatial_depth,spatial_dropout,activation,learning_rate,weight_decay,batch_size,huber_delta,huber_mix,alpha_l2,max_epochs,patience
-0.015734905004501344,0.1524390026034916,1.379469871520996,0.15253363950713783,1.0894767880439757,0.1302743268423125,0.0,ectomycorrhizal_richness_spatialnet_EW256_ED2_EDO0.2_SMnone_K0_SW32_SD1_SDO0.0_ACTgelu_LR0.0003_WD0.0001_BS128_HM0.8_HD1.0_AL20.05,EcM,alpha64_none_k0,256,2,0.2,none,0,32,1,0.0,gelu,0.0003,0.0001,128,1.0,0.8,0.05,80,12
-0.024899816513061522,0.225611916545336,1.3808809280395509,0.17263563311258473,1.0839492201805114,0.157521087845783,0.5712673664093018,ectomycorrhizal_richness_spatialnet_EW256_ED2_EDO0.2_SMrbf_K8_SW32_SD1_SDO0.0_ACTgelu_LR0.0003_WD0.0001_BS128_HM0.8_HD1.0_AL20.1,EcM,alpha64_rbf_k8,256,2,0.2,rbf,8,32,1,0.0,gelu,0.0003,0.0001,128,1.0,0.8,0.1,80,12
-0.07112418413162232,0.2500934424525274,1.4082927346229552,0.1535633147506971,1.1214867770671844,0.15699621626222277,0.0,ectomycorrhizal_richness_spatialnet_EW384_ED2_EDO0.2_SMnone_K0_SW32_SD1_SDO0.0_ACTsilu_LR0.0003_WD0.0001_BS128_HM0.8_HD1.5_AL20.05,EcM,alpha64_none_k0,384,2,0.2,none,0,32,1,0.0,silu,0.0003,0.0001,128,1.5,0.8,0.05,80,12
