Mean_R2_Random,StDev_R2_Random,Mean_RMSE_Random,StDev_RMSE_Random,Mean_MAE_Random,StDev_MAE_Random,cName,Mean_R2_Spatial,StDev_R2_Spatial,Mean_RMSE_Spatial,StDev_RMSE_Spatial,Mean_MAE_Spatial,StDev_MAE_Spatial
0.5989647316055389,0.016198032096209507,0.9062852354269266,0.019416181539304276,0.6654920027376804,0.012296517479495273,ectomycorrhizal_richness_rf_VPS10_LP10_REGRESSION,0.3056990788544772,0.07077469267319088,1.162904733295449,0.058133273218869345,0.9116625290371703,0.05262213706842192
0.5916144024713249,0.01677251100207089,0.9145422249433407,0.01973068848474141,0.6727696393208364,0.012722448152178618,ectomycorrhizal_richness_rf_VPS10_LP12_REGRESSION,0.301034119471156,0.07156809538499531,1.1668666520429454,0.060209562021608445,0.9169261827896268,0.0553613547751631
0.630140922787298,0.015899322625706105,0.8702741054508657,0.017322732645620897,0.6338604821184379,0.011244319485971583,ectomycorrhizal_richness_rf_VPS10_LP2_REGRESSION,0.31075930480767805,0.06374721843963274,1.1591521042414177,0.05864160370594237,0.9094013831056795,0.05725710453230376
0.6246428337542127,0.016201923149445224,0.8767313459749563,0.01826163987696744,0.6403469970861615,0.012072110866711713,ectomycorrhizal_richness_rf_VPS10_LP4_REGRESSION,0.30695251155705694,0.06599232569171413,1.1622064539281454,0.05857838666123229,0.9122112029217442,0.05610075679105253
0.6158531022351966,0.015932829032832344,0.8869725205413357,0.01870684297406045,0.6493909092928705,0.012256216684610398,ectomycorrhizal_richness_rf_VPS10_LP6_REGRESSION,0.30451173125621334,0.06782532459655805,1.1641574762114104,0.059344913738989244,0.9130956500499752,0.05239198461910575
0.6074935244364376,0.01631258853319628,0.8965720500225658,0.019069740943057,0.6570787510737052,0.012528414554429376,ectomycorrhizal_richness_rf_VPS10_LP8_REGRESSION,0.3025638132490618,0.07415473026205927,1.1655324114800463,0.06323536914729368,0.9141021526567071,0.05893404987754419
0.6029500209623117,0.016660354679505374,0.9017604750634538,0.02026068021701579,0.6614529113752289,0.01258581586437662,ectomycorrhizal_richness_rf_VPS12_LP10_REGRESSION,0.30715798541309935,0.07189323626987792,1.1617222884771548,0.061109803790871574,0.9092320958335491,0.05641351832128128
0.5962801686125182,0.01695798949043181,0.9092984418363972,0.020247073244590522,0.6679322413488636,0.012705216932443973,ectomycorrhizal_richness_rf_VPS12_LP12_REGRESSION,0.29532350003027286,0.06884932413076686,1.1718870491559852,0.06106889756837845,0.9223310209815452,0.057866737750067836
0.6306425114426659,0.015478285949968848,0.8696954754261006,0.016804423942866915,0.6327865488272933,0.010576951338332894,ectomycorrhizal_richness_rf_VPS12_LP2_REGRESSION,0.30590308897492396,0.06552936885616138,1.163136986470494,0.05906795736042179,0.9110267492686465,0.055850157797931885
0.626216414465265,0.01657019888369133,0.8748789260400691,0.018671285810202207,0.6383538808926159,0.01208429480239414,ectomycorrhizal_richness_rf_VPS12_LP4_REGRESSION,0.3085692148688781,0.06522492589815981,1.1609252395818186,0.05933683602577915,0.911105121979691,0.05745606847722774
