Mean_R2_Spatial,StDev_R2_Spatial,Mean_RMSE_Spatial,StDev_RMSE_Spatial,Mean_MAE_Spatial,StDev_MAE_Spatial,Mean_Alpha,cName,guild,feature_set,env_arch,env_width,env_depth,env_dropout,spatial_mode,spatial_k,spatial_width,spatial_depth,spatial_dropout,activation,learning_rate,weight_decay,batch_size,huber_delta,huber_mix,alpha_l2,add_missing_indicators,val_strategy,y_transform,max_epochs,patience
0.01906540393829346,0.1539896708137845,1.3535738468170166,0.13738796834697065,1.0641316592693328,0.11696838224069431,0.0,ectomycorrhizal_richness_spatialnet_EAplain_EW256_ED2_EDO0.2_SMnone_K0_SW32_SD1_SDO0.0_ACTgelu_LR0.0003_WD0.0001_BS128_HM0.8_HD1.0_AL20.05_MI1_VALrandom_YTnone,EcM,alpha64_none_k0_mi1_valrandom_ytnone,plain,256,2,0.2,none,0,32,1,0.0,gelu,0.0003,0.0001,128,1.0,0.8,0.05,True,random,none,30,6
-0.008454173803329468,0.1417468991617004,1.376640546321869,0.1581979232747115,1.0906996071338653,0.13910633180859314,0.5801081836223603,ectomycorrhizal_richness_spatialnet_EAplain_EW256_ED2_EDO0.2_SMrbf_K16_SW64_SD1_SDO0.1_ACTsilu_LR0.0001_WD0.0001_BS128_HM0.8_HD1.5_AL20.1_MI1_VALrandom_YTlog1p,EcM,alpha64_rbf_k16_mi1_valrandom_ytlog1p,plain,256,2,0.2,rbf,16,64,1,0.1,silu,0.0001,0.0001,128,1.5,0.8,0.1,True,random,log1p,30,6
-0.0544427752494812,0.13577484513887247,1.404415225982666,0.12567303193655127,1.1059542775154114,0.11824211005058295,0.0,ectomycorrhizal_richness_spatialnet_EAplain_EW384_ED2_EDO0.2_SMnone_K0_SW32_SD1_SDO0.0_ACTsilu_LR0.0003_WD0.0001_BS128_HM0.8_HD1.5_AL20.05_MI1_VALrandom_YTlog1p,EcM,alpha64_none_k0_mi1_valrandom_ytlog1p,plain,384,2,0.2,none,0,32,1,0.0,silu,0.0003,0.0001,128,1.5,0.8,0.05,True,random,log1p,30,6
-0.12713139057159423,0.1994741094727631,1.4509930253028869,0.16256447148934935,1.1272240579128265,0.1466016576617506,0.4252376347780228,ectomycorrhizal_richness_spatialnet_EAresidual_EW256_ED2_EDO0.2_SMrbf_K8_SW32_SD1_SDO0.0_ACTgelu_LR0.0003_WD0.0001_BS128_HM0.8_HD1.0_AL20.1_MI1_VALrandom_YTnone,EcM,alpha64_rbf_k8_mi1_valrandom_ytnone,residual,256,2,0.2,rbf,8,32,1,0.0,gelu,0.0003,0.0001,128,1.0,0.8,0.1,True,random,none,30,6
